name,death_year,canonization_year,origin_country,category,religious_order,feast_month,feast_day,gender,patron_topics,canonizing_pope,wikipedia_summary
Therese of Lisieux,1897,1925,France,Doctor,Carmelite,10.0,1.0,F,"missions, France, florists",Pius XI,"Thérèse of Lisieux  (born Marie Françoise-Thérèse Martin; 2 January 1873 – 30 September 1897), in religion Therese of the Child Jesus and the Holy Face, was a French Discalced Carmelite who is widely venerated in modern times. She is popularly known in English as the Little Flower of Jesus, or simply the Little Flower, and in French as la petite Thérèse ('Little Therese').
Therese has been a highly influential model of sanctity for Catholics and for others because of the simplicity and practical"
Don Bosco,1888,1934,Italy,Confessor,Salesian,1.0,31.0,M,"youth, apprentices, editors",Pius XI,"John Melchior Bosco, SDB (Italian: Giovanni Melchiorre Bosco; Piedmontese: Gioann Melchior Bòsch; 16 August 1815 – 31 January 1888), popularly known as Don Bosco (IPA: [ˈdɔm ˈbɔsko, bo-]), was an Italian Catholic priest, educator and writer. While working in Turin, where the population suffered many of the ill effects of industrialization and urbanization, he dedicated his life to the betterment and education of street children, juvenile delinquents, and other disadvantaged youth. He developed t"
John Bosco,1888,1934,Italy,Confessor,Salesian,1.0,31.0,M,"youth, apprentices, editors",Pius XI,"John Melchior Bosco, SDB (Italian: Giovanni Melchiorre Bosco; Piedmontese: Gioann Melchior Bòsch; 16 August 1815 – 31 January 1888), popularly known as Don Bosco (IPA: [ˈdɔm ˈbɔsko, bo-]), was an Italian Catholic priest, educator and writer. While working in Turin, where the population suffered many of the ill effects of industrialization and urbanization, he dedicated his life to the betterment and education of street children, juvenile delinquents, and other disadvantaged youth. He developed t"
Damien of Molokai,1889,2009,Belgium,Confessor,Congregation of the Sacred Hearts,5.0,10.0,M,"leprosy, Hawaii, outcasts",Benedict XVI,"Damien De Veuster , popularly known as Father Damien or Saint Damien of Molokai (Dutch: Pater Damiaan or Heilige Damiaan van Molokai; born Jozef De Veuster; 3 January 1840 – 15 April 1889), was a Belgian Catholic priest in the Congregation of the Sacred Hearts of Jesus and Mary. He ministered to a leper colony in Molokaʻi, Kingdom of Hawaii, from 1873 until his death in 1889.
De Veuster taught the Catholic faith to the people of Hawaii. He also cared for patients of leprosy (lepers) and establis"
Peter Damian,1072,1828,Italy,Doctor,Benedictine,2.0,21.0,M,reform of clergy,Leo XII,Peter Damian  (Latin: Petrus Damianus; Italian: Pietro or Pier Damiani; c. 1007 – 21 or 22 February 1072 or 1073) was an Italian reforming Benedictine monk and cardinal in the circle of Pope Leo IX. Dante placed him in one of the highest circles of Paradiso as a great predecessor of Francis of Assisi and he was declared a Doctor of the Church on 27 September 1828. His feast day is 21 February.
Pius X,1914,1954,Italy,Confessor,,8.0,21.0,M,"pilgrims, first communicants",Pius XII,"Pope Pius X (Italian: Pio X; born Giuseppe Melchiorre Sarto; 2 June 1835 – 20 August 1914) was head of the Catholic Church from 4 August 1903 until his death in August 1914. 
He was known for opposing modernist interpretations of Catholic doctrine, and for promoting liturgical reforms and Thomist scholastic theology. He initiated the preparation of the 1917 Code of Canon Law, the first comprehensive and systemic work of its kind, which was ultimately promulgated by his successor. He is venerated"
Maria Goretti,1902,1950,Italy,Martyr,,7.0,6.0,F,"youth, rape victims, purity",Pius XII,"Maria Teresa Goretti (Italian: [maˈriːa teˈrɛːza ɡoˈretti]; 16 October 1890 – 6 July 1902) was an Italian virgin martyr of the Catholic Church, and one of the youngest saints to be canonized. She was born to a farming family. Her father died when she was nine, and the family had to share a house with another family, the Serenellis. She took over household duties while her mother and siblings worked in the fields.
One afternoon, Alessandro, the Serenellis' 20-year-old son, made sexual advances to"
Maximilian Kolbe,1941,1982,Poland,Martyr,Franciscan,8.0,14.0,M,"drug addicts, prisoners, journalists",John Paul II,"Maximilian Maria Kolbe (born Raymund Kolbe; Polish: Maksymilian Maria Kolbe; 8 January 1894 – 14 August 1941) was a Polish Conventual Franciscan friar, priest, missionary, and martyr. He volunteered to die in place of a man named Franciszek Gajowniczek in the German death camp of Auschwitz, located in German-occupied Poland during World War II. He had been active in promoting the veneration of the Immaculate Virgin Mary, founding and supervising the monastery of Niepokalanów near Warsaw, operati"
Edith Stein,1942,1998,Germany,Martyr,Carmelite,8.0,9.0,F,"Europe, loss of parents",John Paul II,"Edith Stein  (German: [ʃtaɪn]; in religion Teresa Benedicta of the Cross; 12 October 1891 – 9 August 1942) was a German philosopher who converted to Catholicism and became a Discalced Carmelite nun. She was murdered in the gas chamber at the Auschwitz II-Birkenau concentration camp on 9 August 1942, and is canonized as a martyr and saint of the Catholic Church; she is also one of six patron saints of Europe.
Stein was born into an observant German Jewish family, but had become an agnostic by her"
Oscar Romero,1980,2018,El Salvador,Martyr,,3.0,24.0,M,"poor people, El Salvador",Francis,"Óscar Arnulfo Romero y Galdámez (15 August 1917 – 24 March 1980) was a prelate of the Catholic Church in El Salvador. He served as Auxiliary Bishop of the Archdiocese of San Salvador, the Titular Bishop of Tambeae, as Bishop of Santiago de María, and finally as the fourth Archbishop of San Salvador. As archbishop, Romero spoke out against social injustice and violence amid the escalating conflict between the military government and left-wing insurgents that led to the Salvadoran Civil War. In 19"
Faustina Kowalska,1938,2000,Poland,Confessor,Sisters of Our Lady of Mercy,10.0,5.0,F,Divine Mercy devotion,John Paul II,"Maria Faustyna Kowalska of the Blessed Sacrament, OLM (born Helena Kowalska; 25 August 1905 – 5 October 1938) was a Polish Catholic religious sister and mystic. Faustyna, popularly spelled Faustina in English, had apparitions of Jesus Christ which inspired the Catholic devotion to the Divine Mercy, therefore she is sometimes called the ""secretary"" of Divine Mercy.
Throughout her life, Kowalska reported having visions of Jesus and conversations with him, which she noted in her diary, later publis"
Josemaria Escriva,1975,2002,Spain,Confessor,Opus Dei,6.0,26.0,M,"Opus Dei members, personal vocation",John Paul II,"Josemaría Escrivá de Balaguer y Albás (9 January 1902 – 26 June 1975) was a Spanish Catholic priest who founded Opus Dei, an organization of laypeople and priests dedicated to the principle of everyday holiness. He was canonized by Pope John Paul II in 2002.
Escrivá studied for the priesthood in Logroño and Zaragoza and in 1925 was ordained in the latter. He then moved to Madrid, where he pursued doctoral studies in civil law at the Central University. After the start of the Spanish Civil War in"
John Paul II,2005,2014,Poland,Confessor,,10.0,22.0,M,"families, World Youth Day",Francis,"Pope John Paul II (born Karol Józef Wojtyła; 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of Vatican City from 16 October 1978 until his death in 2005. He was the first non-Italian pope since Adrian VI in the 16th century, as well as the third-longest-serving pope in history, after St. Peter and Pius IX.
In his youth, Wojtyła dabbled in stage acting. He graduated with excellent grades from an all-boys high school in Wadowice, Poland, in 1938, soon after which World W"
Kateri Tekakwitha,1680,2012,United States,Confessor,,7.0,14.0,F,"environment, ecology, Native Americans",Benedict XVI,"Kateri Tekakwitha (pronounced [ˈɡaderi deɡaˈɡwita] in Mohawk), given the name Tekakwitha (Tekaouïta, baptized as Catherine (""Kateri"" in Mohawk), known as Lily of the Mohawks (1656 – April 17, 1680) and Protectress of Canada, also as Geneviève of New France/ Geneviève of Canada, was a Mohawk/Algonquin young woman when she converted to Catholicism. Committing to live as a virgin, she became known for her devotion to Jesus Christ, diligent work ethic, and dedicated prayers for  her fellow Native pe"
Juan Diego,1548,2002,Mexico,Confessor,,12.0,9.0,M,"indigenous people, Mexico",John Paul II,"Juan Diego Cuauhtlatoatzin (1474–1548), also known simply as Juan Diego (Spanish pronunciation: [ˌxwanˈdjeɣo]), was a Nahua peasant and Marian visionary. He is said to have been granted apparitions of Our Lady of Guadalupe on four occasions in December 1531: three at the hill of Tepeyac and a fourth before don Juan de Zumárraga, then the first bishop of Mexico. The Basilica of Our Lady of Guadalupe, located at the foot of Tepeyac, houses the cloak (tilmahtli) that is traditionally said to be Jua"
Rose of Lima,1617,1671,Peru,Confessor,Dominican,8.0,23.0,F,"Latin America, florists",Clement X,"Rose of Lima, TOSD (born Isabel Flores de Oliva; 20 April 1586 – 24 August 1617) (Latin: Rosa Limana, Spanish: Rosa de Lima), was a member of the Third Order of Saint Dominic in Lima, Peru, Spanish Empire, who became known for both her life of severe penance and her care of the poverty stricken of the city through her own private efforts.
Rose of Lima was born to a noble family and is the patron saint of embroidery, gardening, and cultivation of blooming flowers. She was the first person born in"
Martin de Porres,1639,1962,Peru,Confessor,Dominican,11.0,3.0,M,"interracial justice, barbers, poor",John XXIII,"Martín de Porras Velázquez  (9 December 1579 – 3 November 1639) was a Peruvian lay brother of the Dominican Order who was beatified in 1837 by Pope Gregory XVI and canonized in 1962 by Pope John XXIII. He is the patron saint of Black people, mixed-race people, barbers, innkeepers, public health workers, all those seeking racial harmony, and animals.
He was noted for his work on behalf of the poor, establishing an orphanage and a children's hospital. He maintained an austere lifestyle, which incl"
Peter Claver,1654,1888,Spain,Confessor,Jesuit,9.0,9.0,M,"African Americans, Colombia, slaves",Leo XIII,"Peter Claver  (Catalan: Pere Claver i Sobocano, Spanish: Pedro Claver y Corberó; 26 June 1580 – 8 September 1654) was a Spanish Jesuit priest and missionary born in Verdú, Catalonia, Spain, who, due to his life and work, became the patron saint of slaves, Colombia, and ministry to African Americans. 
During the 40 years of his ministry in the New Kingdom of Granada, it is estimated he personally baptized around 300,000 people and heard the confessions of over 5,000 people per year. He is also pa"
Isaac Jogues,1646,1930,France,Martyr,Jesuit,10.0,19.0,M,"United States, Canada",Pius XI,"Isaac Jogues  (10 January 1607 – 18 October 1646) was a French missionary and martyr who traveled and worked among the Iroquois, Huron, and other Native populations in North America. He was the first European to name Lake George, calling it Lac du Saint Sacrement (Lake of the Blessed Sacrament). In 1646, Jogues was martyred by the Mohawk at their village of Ossernenon, near the Mohawk River.
Jogues, Jean de Brébeuf and six other martyred missionaries, all Jesuit priests or laypeople associated w"
Gianna Beretta Molla,1962,2004,Italy,Confessor,,4.0,28.0,F,"mothers, physicians, unborn children",John Paul II,"Gianna Beretta Molla (4 October 1922 – 28 April 1962) was an Italian Catholic pediatrician. Although aware of possible fatal consequences, Molla refused both an abortion and a hysterectomy during her pregnancy with her fourth child in order to preserve the child's life. 
Molla's medical career followed the teachings of the Catholic Church; she believed in following her conscience while coming to the aid of others who required assistance. Molla also dedicated herself to charitable work amongst th"
Mother Teresa,1997,2016,Albania,Confessor,Missionaries of Charity,9.0,5.0,F,"World Youth Day, poor people",Francis,"Mary Teresa Bojaxhiu (born Anjezë Gonxhe Bojaxhiu, Albanian: [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒi.u]; 26 August 1910 – 5 September 1997), better known as Mother Teresa or Saint Mother Teresa, was an Albanian-Indian Catholic nun, founder of the Missionaries of Charity and a Catholic saint. Born in Skopje, then part of the Ottoman Empire, she was raised in a devoutly Catholic family. At the age of 18, she moved to Ireland to join the Sisters of Loreto and later to India, where she lived most of her life and c"
John XXIII,1963,2014,Italy,Confessor,,10.0,11.0,M,"councils, papal authority",Francis,"Pope John XXIII (born Angelo Giuseppe Roncalli;  25 November 1881 – 3 June 1963) was head of the Catholic Church and sovereign of Vatican City from 28 October 1958 until his death on 3 June 1963. 
Roncalli was among 13 children born to Marianna Mazzola and Giovanni Battista Roncalli in a family of sharecroppers who lived in Sotto il Monte, a village in the province of Bergamo, Lombardy. He was ordained to the priesthood on 10 August 1904 and served in a number of posts, as nuncio in France and a"
